City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,west hattiesburg,31.3191,-89.3751,31.81,73,75,5.14,US,1749490580
172,kudahuvadhoo,2.6708,72.8944,28.73,76,73,6.67,MV,1749490581
173,phan rang-thap cham,11.5667,108.9833,26.21,82,100,0.91,VN,1749490582
174,olonkinbyen,70.9221,-8.7187,-0.72,74,45,7.85,SJ,1749490583
175,praia da vitoria,38.7333,-27.0667,22.14,64,75,3.6,PT,1749490584
176,antsiranana,-12.2787,49.2917,24.05,68,3,7.57,MG,1749490585
177,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1749490586
178,navoiy,40.0844,65.3792,23.71,38,10,2.06,UZ,1749490588
179,escarcega,18.6089,-90.7454,37.51,29,51,3.08,MX,1749490589
180,nova sintra,14.8667,-24.7167,22.51,85,4,13.25,CV,1749490590
181,sidhi,24.4167,81.8833,35.76,21,6,2.83,IN,1749490591
182,isafjordur,66.0755,-23.124,9.02,57,75,5.14,IS,1749490592
183,nouadhibou,20.931,-17.0347,24.99,61,2,9.26,MR,1749490593
184,lihue,21.9789,-159.3672,23.77,83,100,6.69,US,1749490594
185,manaure,11.7751,-72.4445,32.79,52,95,9.58,CO,1749490595
186,road town,18.4167,-64.6167,30.02,70,75,7.72,VG,1749490539
187,perry,37.2506,-83.1999,26.07,54,99,3.42,US,1749490597
188,vikulovo,56.8167,70.6107,14.44,87,11,3.45,RU,1749490598
189,bayganin,48.6947,55.8742,23.03,26,32,2.37,KZ,1749490600
190,gaspe,48.8334,-64.4819,21.12,46,0,4.63,CA,1749490601
191,la'ie,21.6477,-157.9253,24.5,85,29,3.13,US,1749490602
192,alofi,-19.0595,-169.9187,16.94,94,97,2.57,NU,1749490603
193,point pedro,9.8167,80.2333,27.8,84,100,6.88,LK,1749490605
194,bahawalnagar,30.5508,73.3908,39.95,10,1,5.98,PK,1749490606
195,san agustin de valle fertil,-30.6335,-67.4682,15.23,47,28,4.28,AR,1749490607
196,mbalmayo,3.5167,11.5,28.18,92,80,0.99,CM,1749490608
197,palmer,42.1584,-72.3287,22.51,68,75,3.6,US,1749490609
198,nantucket,41.2835,-70.0995,14.06,94,100,5.66,US,1749490610
199,conde,-7.2597,-34.9075,27.7,78,75,2.06,BR,1749490611
200,pacific grove,36.6177,-121.9166,14.82,92,100,4.12,US,1749490613
201,afaahiti,-17.75,-149.2833,25.77,74,20,1.28,PF,1749490614
202,klyuchi,52.2667,79.1667,14.48,73,5,0.99,RU,1749490615
203,ambilobe,-13.2,49.05,23.86,62,0,5.9,MG,1749490616
204,kizel,59.0471,57.6477,18.46,78,75,2.3,RU,1749490618
205,san luis,-33.295,-66.3356,16.4,44,15,4.7,AR,1749490619
206,colonia,50.9333,6.95,20.53,59,0,1.54,DE,1749490602
207,buka,40.8108,69.1986,22.36,47,43,2.45,UZ,1749490621
208,portland,45.5234,-122.6762,30.09,48,0,0.89,US,1749490622
209,vorgashor,67.5833,63.95,11.88,99,100,4.17,RU,1749490623
210,college,64.8569,-147.8028,10.09,56,75,0.45,US,1749490624
211,kill devil hills,36.0307,-75.676,28.01,77,0,4.12,US,1749490625
212,wangkui,46.8333,126.5,14.42,72,100,2.69,CN,1749490627
213,sibolga,1.7427,98.7792,24.5,90,100,0.61,ID,1749490628
214,barra do garcas,-15.89,-52.2567,29.32,61,75,1.03,BR,1749490629
215,zelenoborskiy,66.845,32.3622,12.99,76,55,0.63,RU,1749490630
216,den burg,53.0542,4.7972,14.99,82,100,7.2,NL,1749490632
217,twon-brass,4.3151,6.2418,26.65,82,100,2.21,NG,1749490634
218,dalandzadgad,43.5708,104.425,19.2,28,21,10.79,MN,1749490635
219,kingscliff,-28.2667,153.5667,8.86,93,0,3.6,AU,1749490636
220,cabo san lucas,22.8909,-109.9124,29.17,57,0,4.12,MX,1749490637
221,montrose,38.4166,-108.2673,20.05,25,5,2.86,US,1749490638
222,ancud,-41.8697,-73.8203,10.62,71,67,3.0,CL,1749490641
223,monki,53.405,22.7979,12.82,77,56,5.74,PL,1749490642
224,northam,51.0333,-4.2167,16.73,77,91,6.37,GB,1749490643
225,kerikeri,-35.2268,173.9474,12.38,97,60,0.41,NZ,1749490581
226,susuman,62.7833,148.1667,5.12,67,95,0.3,RU,1749490645
227,vilhena,-12.7406,-60.1458,29.12,58,40,2.06,BR,1749490646
228,ryotsu-minato,38.0833,138.4333,18.88,65,100,1.21,JP,1749490370
229,fuerte olimpo,-21.0415,-57.8738,24.81,27,74,3.46,PY,1749490648
230,kodiak,57.79,-152.4072,8.73,49,100,4.12,US,1749490649
